loss	test_acc
0.5687	0.582
0.5644	0.5821
0.5652	0.5822
0.5636	0.5822
0.5623	0.5822
0.5603	0.5823
0.5627	0.5823
0.5603	0.5823
0.5579	0.5823
0.5601	0.5823
0.5592	0.5823
0.5568	0.5823
0.556	0.5823
0.5543	0.5823
0.5544	0.5823
0.5517	0.5823
0.549	0.5823
0.5506	0.5824
0.5521	0.5824
0.5498	0.5824
0.5504	0.5824
0.5495	0.5824
0.5461	0.5824
0.5486	0.5824
0.5466	0.5824
0.5467	0.5824
0.5446	0.5824
0.5446	0.5824
0.5424	0.5823
0.5419	0.5823
0.5403	0.5823
0.5404	0.5823
0.542	0.5823
0.5386	0.5823
0.537	0.5823
0.538	0.5823
0.5391	0.5823
0.5362	0.5823
0.5314	0.5823
0.5361	0.5823
0.5363	0.5823
0.5354	0.5822
0.534	0.5822
0.5301	0.5822
0.5336	0.5822
0.5325	0.5822
0.5295	0.5822
0.5286	0.5822
0.5265	0.5822
0.5308	0.5822
0.5285	0.5823
0.526	0.5823
0.527	0.5823
0.5263	0.5823
0.5248	0.5822
0.5267	0.5822
0.5246	0.5821
0.5212	0.5821
0.5222	0.582
0.5227	0.582
0.5228	0.5819
0.5251	0.5818
0.5182	0.5818
0.5192	0.5817
0.5208	0.5817
0.518	0.5816
0.5137	0.5816
0.5184	0.5816
0.5159	0.5816
0.5163	0.5816
0.5169	0.5815
0.5159	0.5815
0.5144	0.5814
0.5138	0.5813
0.5113	0.5812
0.514	0.5811
0.5129	0.581
0.5129	0.5809
0.5128	0.5808
0.5105	0.5807
0.5139	0.5806
0.5101	0.5806
0.5079	0.5805
0.51	0.5805
0.5067	0.5805
0.5075	0.5805
0.5081	0.5804
0.5077	0.5804
0.5047	0.5803
0.5058	0.5803
0.5056	0.5802
0.5053	0.5801
0.5037	0.58
0.502	0.5799
0.5023	0.5799
0.5021	0.5798
0.4996	0.5797
0.4994	0.5797
0.5018	0.5796
0.5005	0.5795
0.4987	0.5795
0.5033	0.5794
0.4975	0.5793
0.4981	0.5791
0.4998	0.579
0.4961	0.5789
0.4969	0.5788
0.497	0.5787
0.4968	0.5786
0.4945	0.5785
0.4956	0.5784
0.4949	0.5783
0.4957	0.5782
0.4925	0.5782
0.492	0.5781
0.4907	0.5781
0.4921	0.5781
0.4925	0.578
0.4898	0.5779
0.4933	0.5779
0.4924	0.5778
0.4909	0.5778
0.4886	0.5777
0.488	0.5776
0.487	0.5774
0.4886	0.5773
0.4894	0.5772
0.4891	0.577
0.4879	0.5768
0.4884	0.5767
0.4862	0.5766
0.4839	0.5764
0.4875	0.5763
0.4856	0.5761
0.4843	0.5759
0.4849	0.5758
0.4832	0.5758
0.4841	0.5757
0.479	0.5756
0.4834	0.5755
0.4811	0.5754
0.4811	0.5754
0.4786	0.5753
0.4831	0.5752
0.4801	0.5752
0.479	0.5751
0.4786	0.5751
0.4782	0.575
0.4779	0.5749
0.4788	0.5748
0.4773	0.5747
0.4756	0.5746
0.4769	0.5744
0.4758	0.5743
0.4778	0.5742
0.4774	0.574
0.4763	0.5739
0.4765	0.5737
0.4741	0.5736
0.4733	0.5734
0.4773	0.5733
0.4743	0.5731
0.4729	0.573
0.4735	0.5729
0.4732	0.5728
0.4744	0.5727
0.4731	0.5726
0.4732	0.5725
0.4714	0.5724
0.4699	0.5723
0.47	0.5722
0.4718	0.5721
0.4701	0.572
0.4703	0.5719
0.4686	0.5718
