loss	test_acc
0.3105	0.3202
0.5636	0.3221
0.118	0.3193
0.1119	0.316
0.0544	0.3174
0.5988	0.3156
0.1242	0.3161
0.0873	0.3178
0.0923	0.3166
0.2179	0.3159
0.7794	0.3143
0.0298	0.3077
0.8464	0.3134
0.0665	0.3152
0.4681	0.3176
0.3044	0.3141
0.2685	0.3132
0.1373	0.3099
0.4274	0.311
0.0855	0.3111
0.7528	0.3099
0.0536	0.3059
0.1213	0.3115
0.2519	0.3107
0.2279	0.3089
0.0775	0.3081
0.4398	0.3082
1.0128	0.3019
0.4589	0.3068
0.2485	0.3121
0.3069	0.3082
0.0168	0.3106
0.0368	0.3116
0.0702	0.3115
0.2809	0.3093
0.3247	0.3126
0.3065	0.3134
0.0359	0.3117
0.3476	0.3103
1.228	0.312
0.081	0.3134
0.5977	0.3124
0.1783	0.3074
0.356	0.3053
0.7639	0.3017
0.013	0.3026
0.6412	0.3064
0.2299	0.3078
0.0586	0.3072
0.1643	0.3053
0.546	0.3037
0.5229	0.3017
0.1979	0.3008
0.773	0.3022
0.5328	0.306
0.1401	0.3249
0.4237	0.3237
0.9513	0.3212
0.2334	0.323
0.1897	0.3119
0.5968	0.3064
0.2838	0.3061
1.6684	0.3064
0.0417	0.3047
0.018	0.3061
0.0834	0.3068
0.1874	0.3076
0.5826	0.3062
0.1381	0.304
0.2586	0.3021
0.1473	0.3031
0.2665	0.3021
0.1429	0.2994
0.151	0.2979
0.0826	0.2947
0.6272	0.2969
0.0666	0.2973
0.1072	0.2977
0.1356	0.2986
0.5773	0.3031
1.091	0.3021
0.8764	0.3018
0.2388	0.3047
0.1626	0.3054
0.3106	0.3038
0.0174	0.3037
0.8387	0.3045
0.4232	0.309
0.1391	0.3079
0.9571	0.3062
0.0402	0.3027
0.3354	0.3065
0.3407	0.3034
1.0731	0.3007
0.4968	0.2957
0.1022	0.3036
0.3357	0.3066
0.3186	0.3069
0.438	0.3055
0.1372	0.3088
0.1893	0.3083
0.1512	0.3112
0.124	0.3101
0.3753	0.3078
0.0167	0.3098
0.1138	0.3064
0.0963	0.3076
0.2285	0.3083
0.5576	0.308
0.8449	0.306
0.2317	0.308
0.5147	0.3104
0.034	0.3092
0.1253	0.3121
0.1821	0.3115
0.1717	0.3094
0.3364	0.308
0.4367	0.3098
0.1819	0.3066
0.0619	0.3059
0.3551	0.3025
0.0633	0.3055
0.0806	0.3067
0.2369	0.3051
0.0347	0.3008
0.467	0.3001
0.6375	0.301
0.6148	0.3005
0.0389	0.2991
0.068	0.2981
0.1861	0.2992
0.1129	0.3051
0.0153	0.304
0.696	0.3043
1.4868	0.304
0.0274	0.3051
0.1877	0.3062
0.3289	0.3065
0.1867	0.3015
0.249	0.2947
0.0353	0.2918
0.0738	0.2926
0.0152	0.2924
0.022	0.2923
0.1005	0.2941
0.2757	0.295
0.7781	0.2918
0.6971	0.2875
0.3182	0.2855
0.922	0.2853
0.0949	0.2851
0.0955	0.2877
0.4627	0.2879
0.2924	0.2869
0.232	0.2892
0.1422	0.2886
0.3277	0.2873
0.1092	0.2887
0.2062	0.2945
0.1138	0.2935
0.1219	0.2963
0.7762	0.2969
0.3136	0.2923
0.5452	0.296
1.2497	0.2891
0.4709	0.2833
0.0426	0.2869
0.2575	0.2893
0.3122	0.2899
0.0455	0.2891
0.4695	0.2868
0.4898	0.2823
0.3072	0.2884
0.2475	0.2889
